Name,20170605,20160605
石門水庫,89.58,94.05
翡翠水庫,88.63,77.66
寶山第二水庫,97.85,98.5
永和山水庫,94.98,94.5
明德水庫,87.5,87.61
鯉魚潭水庫,99.81,97.75
德基水庫,95.2,58.85
石岡壩,34.47,29.93
霧社水庫,87,45.39
日月潭水庫,93.48,94.26
仁義潭水庫,57.29,94.94
白河水庫,48.91,12.45
烏山頭水庫,44.09,69.14
曾文水庫,76.5,47.95
南化水庫,100,51.87
阿公店水庫,13.49,4.29
牡丹水庫,38.88,33.56
